object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197900,PGE,2026-06-10 19:09:44+00:00,2026-06-10 22:45:00+00:00,PATROLLING,1,SONOMA,Active,Not Planned,276252,3.5877777777777777
10197901,PGE,2026-06-10 19:11:55+00:00,2026-06-10 22:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN FRANCISCO,Active,Not Planned,276255,3.551388888888889
10197902,PGE,2026-06-10 19:14:59+00:00,2026-06-10 23:00:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN FRANCISCO,Active,Not Planned,276256,3.750277777777778
10197903,PGE,2026-06-10 19:15:09+00:00,2026-06-11 02:15:00+00:00,UNKNOWN / NOT PROVIDED,1,SANTA CLARA,Active,Not Planned,276257,6.9975
10197904,PGE,2026-06-10 19:15:15+00:00,2026-06-10 22:45:00+00:00,UNKNOWN / NOT PROVIDED,1,MENDOCINO,Active,Not Planned,276258,3.495833333333333
10197905,PGE,2026-06-10 19:16:32+00:00,2026-06-11 05:30:00+00:00,UNKNOWN / NOT PROVIDED,1,MARIN,Active,Not Planned,276259,10.224444444444444
10197906,PGE,2026-06-10 19:17:30+00:00,2026-06-10 22:45:00+00:00,PATROLLING,19,BUTTE,Active,Not Planned,276260,3.4583333333333335
10197907,PGE,2026-06-10 19:22:12+00:00,2026-06-11 02:00:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN FRANCISCO,Active,Not Planned,276263,6.63
10197908,PGE,2026-06-10 19:22:27+00:00,2026-06-11 02:15:00+00:00,EMERG REPAIRS,9,SANTA CLARA,Active,Not Planned,276264,6.8758333333333335
10197909,PGE,2026-06-10 19:23:38+00:00,2026-06-11 02:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN FRANCISCO,Active,Not Planned,276266,7.356111111111111
10197910,PGE,2026-06-10 19:24:45+00:00,2026-06-10 23:30:00+00:00,UNKNOWN / NOT PROVIDED,1,SOLANO,Active,Not Planned,276267,4.0875
10197911,PGE,2026-06-10 19:25:06+00:00,2026-06-10 23:45:00+00:00,UNKNOWN / NOT PROVIDED,1,ALAMEDA,Active,Not Planned,276269,4.331666666666667
10197912,PGE,2026-06-10 19:25:37+00:00,2026-06-11 02:45:00+00:00,PATROLLING,1,SUTTER,Active,Not Planned,276270,7.323055555555555
10197913,PGE,2026-06-10 19:27:06+00:00,2026-06-10 23:00:00+00:00,PATROLLING,1,CALAVERAS,Active,Not Planned,276271,3.5483333333333333
10197914,PGE,2026-06-10 19:29:23+00:00,2026-06-10 23:00:00+00:00,UNKNOWN / NOT PROVIDED,1,KERN,Active,Not Planned,276272,3.5102777777777776
10197915,PGE,2026-06-10 19:29:33+00:00,2026-06-11 04:00:00+00:00,UNKNOWN / NOT PROVIDED,1,ALAMEDA,Active,Not Planned,276273,8.5075
10197916,PGE,2026-06-10 19:31:08+00:00,2026-06-10 23:00:00+00:00,UNKNOWN / NOT PROVIDED,1,ALAMEDA,Active,Not Planned,276280,3.4811111111111113
10197917,PGE,2026-06-10 19:27:00+00:00,2026-06-10 22:15:00+00:00,UNKNOWN / NOT PROVIDED,1598,SANTA CLARA,Active,Not Planned,276284,2.8
10197918,PGE,2026-06-10 19:34:12+00:00,2026-06-11 01:45:00+00:00,UNKNOWN / NOT PROVIDED,1,NAPA,Active,Not Planned,276290,6.18
10197919,PGE,2026-06-10 19:34:31+00:00,2026-06-11 00:00:00+00:00,UNKNOWN / NOT PROVIDED,1,PLUMAS,Active,Not Planned,276291,4.424722222222222
10197920,PGE,2026-06-10 19:36:14+00:00,,UNKNOWN / NOT PROVIDED,3,CALAVERAS,Active,Not Planned,276292,
10197921,PGE,2026-06-10 19:36:39+00:00,,UNKNOWN / NOT PROVIDED,7,ALAMEDA,Active,Not Planned,276294,
10197922,PGE,2026-06-10 19:45:50+00:00,,UNKNOWN / NOT PROVIDED,1,SAN JOAQUIN,Active,Not Planned,276299,
10197923,PGE,2026-06-10 19:45:53+00:00,,UNKNOWN / NOT PROVIDED,1,SUTTER,Active,Not Planned,276300,
10197924,PGE,2026-06-10 19:48:26+00:00,,UNKNOWN / NOT PROVIDED,1,SUTTER,Active,Not Planned,276301,
10197925,PGE,2026-06-10 19:49:19+00:00,,UNKNOWN / NOT PROVIDED,1,ALAMEDA,Active,Not Planned,276308,
10197926,PGE,2026-06-10 19:49:25+00:00,,UNKNOWN / NOT PROVIDED,1,SANTA CLARA,Active,Not Planned,276309,
10197927,PGE,2026-06-10 19:49:32+00:00,,UNKNOWN / NOT PROVIDED,1,SAN JOAQUIN,Active,Not Planned,276311,
10197928,PGE,2026-06-10 18:34:12+00:00,,UNKNOWN / NOT PROVIDED,4062,CONTRA COSTA,Active,Not Planned,276313,
10197929,PGE,2026-06-10 19:49:59+00:00,,UNKNOWN / NOT PROVIDED,1,FRESNO,Active,Not Planned,276317,
10197930,PGE,2026-06-10 19:50:17+00:00,,UNKNOWN / NOT PROVIDED,1,SOLANO,Active,Not Planned,276328,
